transformed_feature,coefficient,absolute_coefficient,direction
feature_142,-0.21661276442416066,0.21661276442416066,lowers score
feature_471,0.21463323419583624,0.21463323419583624,raises score
feature_201,0.21398591872220463,0.21398591872220463,raises score
feature_523,-0.21366617686096742,0.21366617686096742,lowers score
feature_161,-0.213423242125592,0.213423242125592,lowers score
feature_138,0.21156762579017843,0.21156762579017843,raises score
feature_043,0.21151918702371733,0.21151918702371733,raises score
feature_033,0.21092110187760385,0.21092110187760385,raises score
feature_081,0.20834741127131626,0.20834741127131626,raises score
feature_011,-0.20794779367027794,0.20794779367027794,lowers score
feature_389,-0.20784143411083378,0.20784143411083378,lowers score
feature_130,0.2069804871840604,0.2069804871840604,raises score
feature_277,0.20356325659898294,0.20356325659898294,raises score
feature_080,-0.20346775957688942,0.20346775957688942,lowers score
feature_054,-0.20333621534114849,0.20333621534114849,lowers score
feature_577,-0.20292610263386998,0.20292610263386998,lowers score
feature_101,-0.2020096879032253,0.2020096879032253,lowers score
feature_168,0.200616150626376,0.200616150626376,raises score
feature_386,-0.1991392495167856,0.1991392495167856,lowers score
feature_177,-0.19654092599992437,0.19654092599992437,lowers score
feature_448,-0.1962633484045857,0.1962633484045857,lowers score
feature_455,0.19433236715826424,0.19433236715826424,raises score
feature_349,0.19304883942673387,0.19304883942673387,raises score
feature_339,-0.19278867089997345,0.19278867089997345,lowers score
feature_491,0.189918337446558,0.189918337446558,raises score
feature_377,-0.18897902887807164,0.18897902887807164,lowers score
feature_046,0.1883053155327444,0.1883053155327444,raises score
feature_305,-0.18635980049277243,0.18635980049277243,lowers score
feature_032,0.18579621350325456,0.18579621350325456,raises score
feature_295,0.1852474785698164,0.1852474785698164,raises score
feature_029,0.1821630678379141,0.1821630678379141,raises score
feature_493,-0.1821516885358354,0.1821516885358354,lowers score
feature_562,-0.181107189530836,0.181107189530836,lowers score
feature_563,-0.18038988041981147,0.18038988041981147,lowers score
feature_588,0.1794683614771583,0.1794683614771583,raises score
feature_311,-0.17838090716597416,0.17838090716597416,lowers score
feature_119,-0.1776442922260706,0.1776442922260706,lowers score
feature_077,0.17702645434061978,0.17702645434061978,raises score
feature_411,0.17605044397172634,0.17605044397172634,raises score
feature_183,0.17528134005517734,0.17528134005517734,raises score
feature_221,-0.175101018376646,0.175101018376646,lowers score
missingindicator_feature_041,-0.17441949792854622,0.17441949792854622,lowers score
missingindicator_feature_040,-0.17441949792854622,0.17441949792854622,lowers score
feature_469,0.17271090073959305,0.17271090073959305,raises score
feature_248,-0.17264626132544372,0.17264626132544372,lowers score
feature_296,-0.1725588742771423,0.1725588742771423,lowers score
feature_092,-0.17105625711402137,0.17105625711402137,lowers score
feature_096,0.17040353143298814,0.17040353143298814,raises score
feature_363,-0.16924972299002336,0.16924972299002336,lowers score
feature_075,0.16916866468770492,0.16916866468770492,raises score
feature_348,0.16765955768478372,0.16765955768478372,raises score
feature_239,0.16760858888841945,0.16760858888841945,raises score
feature_352,-0.1668807887559278,0.1668807887559278,lowers score
feature_274,0.1665064075944223,0.1665064075944223,raises score
feature_520,-0.16629207569527787,0.16629207569527787,lowers score
feature_143,-0.16465392916532,0.16465392916532,lowers score
feature_238,0.16342664739666896,0.16342664739666896,raises score
feature_511,0.16142837993251616,0.16142837993251616,raises score
feature_353,-0.16110563283234453,0.16110563283234453,lowers score
feature_188,0.15985552337970235,0.15985552337970235,raises score
feature_301,0.15745458541864563,0.15745458541864563,raises score
feature_089,0.1570418624816534,0.1570418624816534,raises score
feature_022,-0.1568959555696518,0.1568959555696518,lowers score
feature_270,0.15639429652881742,0.15639429652881742,raises score
feature_122,-0.15639361492050405,0.15639361492050405,lowers score
feature_543,-0.15523872340813827,0.15523872340813827,lowers score
feature_117,-0.1547950707787366,0.1547950707787366,lowers score
feature_083,0.15424388068695324,0.15424388068695324,raises score
feature_108,-0.15353535670850577,0.15353535670850577,lowers score
feature_058,0.1522490394246849,0.1522490394246849,raises score
feature_312,-0.15190626271745994,0.15190626271745994,lowers score
feature_376,-0.15122622339135233,0.15122622339135233,lowers score
feature_416,-0.15111741952160357,0.15111741952160357,lowers score
feature_051,-0.1510391847970882,0.1510391847970882,lowers score
feature_023,0.1509008947284582,0.1509008947284582,raises score
feature_355,0.1500670248951168,0.1500670248951168,raises score
feature_211,0.14786026439944636,0.14786026439944636,raises score
feature_497,-0.14770520417459065,0.14770520417459065,lowers score
feature_545,-0.1466145787755814,0.1466145787755814,lowers score
feature_066,0.14536522174674393,0.14536522174674393,raises score
feature_456,-0.1448306340364341,0.1448306340364341,lowers score
feature_016,0.1445563946957319,0.1445563946957319,raises score
feature_072,0.14149840502837546,0.14149840502837546,raises score
feature_200,0.1409444790247502,0.1409444790247502,raises score
feature_289,-0.14037843547285567,0.14037843547285567,lowers score
feature_437,0.13962289710271245,0.13962289710271245,raises score
feature_409,-0.13947923492615832,0.13947923492615832,lowers score
feature_544,0.13904528967206042,0.13904528967206042,raises score
feature_136,-0.13752748405219067,0.13752748405219067,lowers score
feature_113,0.13727179118156424,0.13727179118156424,raises score
feature_556,-0.13681336836544442,0.13681336836544442,lowers score
feature_454,-0.13519491210166018,0.13519491210166018,lowers score
feature_160,0.13465915902508993,0.13465915902508993,raises score
feature_337,0.13462926126139274,0.13462926126139274,raises score
feature_105,-0.13451254122865858,0.13451254122865858,lowers score
feature_550,-0.13367011494178446,0.13367011494178446,lowers score
feature_546,0.1325393916919583,0.1325393916919583,raises score
feature_088,0.13226189694114474,0.13226189694114474,raises score
feature_554,0.13182335260744493,0.13182335260744493,raises score
feature_495,-0.13167978103098874,0.13167978103098874,lowers score
feature_225,-0.13072312777198858,0.13072312777198858,lowers score
feature_045,0.12984297207240564,0.12984297207240564,raises score
feature_001,-0.12961084790023902,0.12961084790023902,lowers score
feature_316,-0.1292880409299971,0.1292880409299971,lowers score
feature_283,-0.12598773068447924,0.12598773068447924,lowers score
feature_202,-0.12587838456965425,0.12587838456965425,lowers score
feature_406,0.12358308525002105,0.12358308525002105,raises score
feature_412,-0.12290316544324267,0.12290316544324267,lowers score
feature_368,-0.12214326471034061,0.12214326471034061,lowers score
feature_018,-0.1212479525362169,0.1212479525362169,lowers score
feature_510,0.12117357414406721,0.12117357414406721,raises score
feature_098,0.12101070014883351,0.12101070014883351,raises score
feature_020,0.12084767455774266,0.12084767455774266,raises score
feature_035,-0.12038102194081367,0.12038102194081367,lowers score
feature_024,-0.12003719146849884,0.12003719146849884,lowers score
feature_445,0.11907361528518431,0.11907361528518431,raises score
feature_484,-0.11827362306695524,0.11827362306695524,lowers score
feature_031,-0.11670764865501955,0.11670764865501955,lowers score
feature_164,-0.11613966275886438,0.11613966275886438,lowers score
feature_331,0.11553405668095755,0.11553405668095755,raises score
feature_500,0.11548460802101858,0.11548460802101858,raises score
feature_006,-0.11539868920864954,0.11539868920864954,lowers score
feature_424,-0.11432030921921564,0.11432030921921564,lowers score
feature_118,-0.11408259432601556,0.11408259432601556,lowers score
feature_044,-0.11343188813326929,0.11343188813326929,lowers score
feature_107,0.1133500486782173,0.1133500486782173,raises score
feature_223,-0.11288576190899405,0.11288576190899405,lowers score
feature_421,-0.11222480992544213,0.11222480992544213,lowers score
feature_086,0.1118964866653184,0.1118964866653184,raises score
feature_418,-0.11110548006281969,0.11110548006281969,lowers score
feature_151,-0.11083337447999315,0.11083337447999315,lowers score
feature_557,0.11044519861771691,0.11044519861771691,raises score
feature_174,0.11001370051931302,0.11001370051931302,raises score
feature_319,0.10930445651202483,0.10930445651202483,raises score
feature_282,0.10914469132045992,0.10914469132045992,raises score
feature_140,-0.10903329528662689,0.10903329528662689,lowers score
feature_468,0.10900733434115295,0.10900733434115295,raises score
feature_121,0.10885444061132231,0.10885444061132231,raises score
feature_172,0.10885046459200681,0.10885046459200681,raises score
feature_475,0.10831075392235769,0.10831075392235769,raises score
feature_030,-0.10737911328588533,0.10737911328588533,lowers score
feature_438,-0.10627388202961444,0.10627388202961444,lowers score
feature_547,0.10534248678042223,0.10534248678042223,raises score
feature_430,0.10516887359012729,0.10516887359012729,raises score
feature_037,0.10515987317465725,0.10515987317465725,raises score
feature_361,0.10488742372011772,0.10488742372011772,raises score
feature_548,-0.10443455946897244,0.10443455946897244,lowers score
feature_196,-0.10394170251886035,0.10394170251886035,lowers score
feature_457,0.10268387413831555,0.10268387413831555,raises score
feature_561,0.10239035806807355,0.10239035806807355,raises score
feature_148,-0.10227566063088382,0.10227566063088382,lowers score
feature_303,0.10196985019460665,0.10196985019460665,raises score
feature_159,0.1018615970774286,0.1018615970774286,raises score
feature_286,-0.10053011546957387,0.10053011546957387,lowers score
feature_195,0.10037390962239123,0.10037390962239123,raises score
feature_167,-0.09991906496911114,0.09991906496911114,lowers score
feature_564,0.09812185192975194,0.09812185192975194,raises score
feature_426,-0.09810648282605813,0.09810648282605813,lowers score
feature_467,0.09777873954913725,0.09777873954913725,raises score
feature_443,0.09743697026200293,0.09743697026200293,raises score
feature_324,0.09651702192658818,0.09651702192658818,raises score
feature_482,0.09642131353819575,0.09642131353819575,raises score
feature_268,-0.09619150518420946,0.09619150518420946,lowers score
feature_472,0.09576145507042022,0.09576145507042022,raises score
feature_039,-0.0947894703379473,0.0947894703379473,lowers score
feature_114,0.0945332358723675,0.0945332358723675,raises score
feature_306,0.09403351847555336,0.09403351847555336,raises score
feature_247,0.093326605467515,0.093326605467515,raises score
feature_084,-0.09328533439595404,0.09328533439595404,lowers score
feature_568,0.09311351583694194,0.09311351583694194,raises score
feature_540,-0.09265187732259694,0.09265187732259694,lowers score
feature_094,-0.09211374789867884,0.09211374789867884,lowers score
feature_558,0.09172645807275119,0.09172645807275119,raises score
feature_431,0.0911680157464998,0.0911680157464998,raises score
feature_442,0.0907647143900571,0.0907647143900571,raises score
feature_586,0.09045944553936153,0.09045944553936153,raises score
feature_127,-0.08981766228450795,0.08981766228450795,lowers score
feature_551,0.08942783508105506,0.08942783508105506,raises score
feature_166,0.08937801584517642,0.08937801584517642,raises score
feature_440,-0.08799814639343267,0.08799814639343267,lowers score
feature_002,-0.08784151601865697,0.08784151601865697,lowers score
feature_082,0.08729196759947,0.08729196759947,raises score
feature_017,0.08657650315610026,0.08657650315610026,raises score
feature_078,-0.08644347463136473,0.08644347463136473,lowers score
feature_153,-0.08609313509229595,0.08609313509229595,lowers score
feature_181,-0.08561079416861427,0.08561079416861427,lowers score
feature_350,-0.08495259266493589,0.08495259266493589,lowers score
feature_185,0.08447351697975757,0.08447351697975757,raises score
feature_228,0.08431839932412029,0.08431839932412029,raises score
feature_210,0.08418250887106035,0.08418250887106035,raises score
feature_583,0.08416832221902987,0.08416832221902987,raises score
feature_575,-0.0838896300634286,0.0838896300634286,lowers score
feature_137,0.08361005349593481,0.08361005349593481,raises score
feature_090,-0.08346293158157116,0.08346293158157116,lowers score
feature_215,-0.08106899891011157,0.08106899891011157,lowers score
feature_566,-0.08105238895118498,0.08105238895118498,lowers score
feature_589,0.0805763066134658,0.0805763066134658,raises score
feature_034,-0.08027079389569014,0.08027079389569014,lowers score
feature_036,0.08025938243286741,0.08025938243286741,raises score
feature_574,-0.07950733180955169,0.07950733180955169,lowers score
feature_273,-0.07942678496454655,0.07942678496454655,lowers score
feature_112,0.07937398311862665,0.07937398311862665,raises score
feature_146,-0.07935258190815747,0.07935258190815747,lowers score
feature_346,0.0790015379435632,0.0790015379435632,raises score
feature_063,0.07884169716783135,0.07884169716783135,raises score
feature_070,-0.07549375380385344,0.07549375380385344,lowers score
feature_182,-0.07435711361277708,0.07435711361277708,lowers score
feature_487,0.07332940002842903,0.07332940002842903,raises score
feature_171,-0.0732508283555053,0.0732508283555053,lowers score
feature_269,0.07291219536099092,0.07291219536099092,raises score
feature_055,0.07183753480523884,0.07183753480523884,raises score
feature_169,-0.07159494461989117,0.07159494461989117,lowers score
feature_453,-0.07080152767637604,0.07080152767637604,lowers score
feature_203,0.07041792031783954,0.07041792031783954,raises score
feature_134,-0.07035322303328434,0.07035322303328434,lowers score
feature_441,0.07034628667761933,0.07034628667761933,raises score
feature_309,0.07019048668115296,0.07019048668115296,raises score
feature_555,-0.0699565243209272,0.0699565243209272,lowers score
feature_410,0.0690289685558201,0.0690289685558201,raises score
feature_307,0.06900309460683023,0.06900309460683023,raises score
feature_357,-0.06808174543110762,0.06808174543110762,lowers score
feature_542,-0.06791937776071354,0.06791937776071354,lowers score
feature_291,0.0674840187792004,0.0674840187792004,raises score
feature_068,-0.06698765839588469,0.06698765839588469,lowers score
feature_323,-0.06684218078756447,0.06684218078756447,lowers score
feature_321,-0.0666829666460319,0.0666829666460319,lowers score
feature_026,0.06660501423260343,0.06660501423260343,raises score
feature_489,0.06600395203709554,0.06600395203709554,raises score
feature_334,-0.06599091237808768,0.06599091237808768,lowers score
feature_128,-0.06559288259740627,0.06559288259740627,lowers score
feature_435,-0.0647572986377372,0.0647572986377372,lowers score
feature_147,0.06422571250472485,0.06422571250472485,raises score
feature_444,-0.06369903280680467,0.06369903280680467,lowers score
feature_585,0.06298078101531275,0.06298078101531275,raises score
feature_281,-0.062260789814184904,0.062260789814184904,lowers score
feature_519,0.0622162709731176,0.0622162709731176,raises score
feature_526,-0.06184949121436782,0.06184949121436782,lowers score
feature_224,-0.06175875281750271,0.06175875281750271,lowers score
feature_310,0.06100317142805626,0.06100317142805626,raises score
missingindicator_feature_357,-0.06083719787323451,0.06083719787323451,lowers score
missingindicator_feature_219,-0.06083719787323451,0.06083719787323451,lowers score
missingindicator_feature_084,-0.06083719787323451,0.06083719787323451,lowers score
missingindicator_feature_491,-0.06083719787323451,0.06083719787323451,lowers score
feature_170,0.05980445984629868,0.05980445984629868,raises score
feature_217,0.059293351653173655,0.059293351653173655,raises score
feature_180,0.05894223338249902,0.05894223338249902,raises score
feature_254,-0.058755749285285416,0.058755749285285416,lowers score
feature_298,0.05748108148848688,0.05748108148848688,raises score
feature_294,0.056114778228007374,0.056114778228007374,raises score
feature_213,0.05531654746795374,0.05531654746795374,raises score
feature_173,-0.05472773841003044,0.05472773841003044,lowers score
feature_417,-0.05316026299346777,0.05316026299346777,lowers score
feature_521,-0.05311731828120107,0.05311731828120107,lowers score
feature_345,-0.05304164987725676,0.05304164987725676,lowers score
feature_302,0.05232453275056508,0.05232453275056508,raises score
feature_436,-0.0516590839043008,0.0516590839043008,lowers score
feature_297,0.05115590416589271,0.05115590416589271,raises score
feature_573,-0.051106250362180486,0.051106250362180486,lowers score
feature_079,-0.051029838001964145,0.051029838001964145,lowers score
feature_252,0.05069330097029314,0.05069330097029314,raises score
feature_106,0.05057582085104812,0.05057582085104812,raises score
feature_522,0.05023604767454579,0.05023604767454579,raises score
missingindicator_feature_135,-0.04982542760923365,0.04982542760923365,lowers score
missingindicator_feature_408,-0.04982542760923365,0.04982542760923365,lowers score
missingindicator_feature_270,-0.04982542760923365,0.04982542760923365,lowers score
feature_527,-0.04976317193282128,0.04976317193282128,lowers score
feature_565,0.049502516698449454,0.049502516698449454,raises score
feature_095,0.04894654650731836,0.04894654650731836,raises score
feature_087,0.04867629924690368,0.04867629924690368,raises score
feature_272,-0.047963939830190566,0.047963939830190566,lowers score
feature_287,-0.0475343585818839,0.0475343585818839,lowers score
feature_116,-0.04739192184837498,0.04739192184837498,lowers score
feature_104,-0.047318171457737375,0.047318171457737375,lowers score
feature_091,-0.04708160894536239,0.04708160894536239,lowers score
feature_420,0.046968101434416244,0.046968101434416244,raises score
feature_496,-0.04546434533414799,0.04546434533414799,lowers score
feature_219,0.04495777272878681,0.04495777272878681,raises score
feature_150,0.04469871775721549,0.04469871775721549,raises score
feature_391,-0.044351052556337076,0.044351052556337076,lowers score
feature_135,-0.044273667072273495,0.044273667072273495,lowers score
feature_222,0.04415210971855868,0.04415210971855868,raises score
feature_015,-0.04382243606653328,0.04382243606653328,lowers score
feature_184,-0.04381172723202068,0.04381172723202068,lowers score
feature_571,-0.043741903907622684,0.043741903907622684,lowers score
feature_541,0.043087323679557324,0.043087323679557324,raises score
feature_408,-0.04291872175748565,0.04291872175748565,lowers score
feature_447,0.042667982789747955,0.042667982789747955,raises score
feature_176,0.042464060160855334,0.042464060160855334,raises score
feature_525,-0.04232930477146911,0.04232930477146911,lowers score
feature_073,0.04228843249034652,0.04228843249034652,raises score
feature_452,0.04190777808092457,0.04190777808092457,raises score
feature_010,-0.04180660634561015,0.04180660634561015,lowers score
feature_308,-0.04167295654948987,0.04167295654948987,lowers score
feature_390,0.04163839513920867,0.04163839513920867,raises score
feature_199,-0.04136055453974056,0.04136055453974056,lowers score
feature_413,0.041094096771318755,0.041094096771318755,raises score
feature_275,0.04076350839349729,0.04076350839349729,raises score
feature_539,0.04066323422825094,0.04066323422825094,raises score
feature_407,-0.040585482147689665,0.040585482147689665,lowers score
feature_212,-0.04035005286094728,0.04035005286094728,lowers score
feature_152,-0.04033748440024133,0.04033748440024133,lowers score
feature_004,-0.039293369146535674,0.039293369146535674,lowers score
feature_356,-0.03897184592162203,0.03897184592162203,lowers score
feature_584,0.038931314906151676,0.038931314906151676,raises score
missingindicator_feature_416,-0.037951184352003904,0.037951184352003904,lowers score
missingindicator_feature_278,-0.037951184352003904,0.037951184352003904,lowers score
missingindicator_feature_007,-0.037951184352003904,0.037951184352003904,lowers score
missingindicator_feature_143,-0.037951184352003904,0.037951184352003904,lowers score
feature_446,-0.03772380982545666,0.03772380982545666,lowers score
feature_103,0.03766514558970576,0.03766514558970576,raises score
feature_549,-0.037655672117441044,0.037655672117441044,lowers score
feature_255,-0.03764729219866043,0.03764729219866043,lowers score
feature_290,-0.037459568936917854,0.037459568936917854,lowers score
feature_165,-0.036645889191304126,0.036645889191304126,lowers score
feature_476,-0.03640517560276382,0.03640517560276382,lowers score
feature_285,-0.03628777764472219,0.03628777764472219,lowers score
feature_028,-0.036140511591661595,0.036140511591661595,lowers score
feature_393,0.0349038569248571,0.0349038569248571,raises score
feature_427,-0.034895069922400566,0.034895069922400566,lowers score
feature_100,0.03478396593048345,0.03478396593048345,raises score
feature_576,0.03441612085363327,0.03441612085363327,raises score
feature_320,-0.03435870593048197,0.03435870593048197,lowers score
missingindicator_feature_137,0.03354160267516024,0.03354160267516024,raises score
missingindicator_feature_410,0.03354160267516024,0.03354160267516024,raises score
missingindicator_feature_001,0.03354160267516024,0.03354160267516024,raises score
missingindicator_feature_272,0.03354160267516024,0.03354160267516024,raises score
feature_569,0.03332890708314057,0.03332890708314057,raises score
feature_144,-0.03291356486384913,0.03291356486384913,lowers score
feature_474,0.032698988404580236,0.032698988404580236,raises score
feature_057,-0.03226047007959223,0.03226047007959223,lowers score
feature_362,-0.03211339860964828,0.03211339860964828,lowers score
feature_433,-0.03197793869980669,0.03197793869980669,lowers score
feature_587,0.03175880075230778,0.03175880075230778,raises score
feature_570,0.03146883165093087,0.03146883165093087,raises score
feature_572,-0.031054722139198538,0.031054722139198538,lowers score
feature_126,0.03100748828471882,0.03100748828471882,raises score
feature_175,-0.030861912072809743,0.030861912072809743,lowers score
feature_434,-0.030417481554828485,0.030417481554828485,lowers score
feature_093,0.029027578997098357,0.029027578997098357,raises score
feature_552,-0.028577232514584796,0.028577232514584796,lowers score
feature_227,0.02827814031346586,0.02827814031346586,raises score
feature_187,-0.028213775565425744,0.028213775565425744,lowers score
feature_065,-0.02819335141217576,0.02819335141217576,lowers score
feature_207,-0.02789168568089158,0.02789168568089158,lowers score
feature_553,-0.027859712850174505,0.027859712850174505,lowers score
feature_351,0.027577944420263092,0.027577944420263092,raises score
feature_299,-0.027057082108644482,0.027057082108644482,lowers score
missingindicator_feature_136,-0.027020218337878564,0.027020218337878564,lowers score
missingindicator_feature_271,-0.027020218337878564,0.027020218337878564,lowers score
missingindicator_feature_409,-0.027020218337878564,0.027020218337878564,lowers score
missingindicator_feature_000,-0.027020218337878564,0.027020218337878564,lowers score
feature_154,-0.026522318833798998,0.026522318833798998,lowers score
feature_360,0.026100309296098072,0.026100309296098072,raises score
feature_366,0.025444245151690033,0.025444245151690033,raises score
missingindicator_feature_346,-0.025383920796630502,0.025383920796630502,lowers score
missingindicator_feature_072,-0.025383920796630502,0.025383920796630502,lowers score
missingindicator_feature_073,-0.025383920796630502,0.025383920796630502,lowers score
missingindicator_feature_345,-0.025383920796630502,0.025383920796630502,lowers score
feature_048,-0.024808892882715972,0.024808892882715972,lowers score
feature_405,-0.023519469050419337,0.023519469050419337,lowers score
feature_253,-0.023234667911392698,0.023234667911392698,lowers score
missingindicator_feature_589,0.023217172813132837,0.023217172813132837,raises score
missingindicator_feature_587,0.023217172813132837,0.023217172813132837,raises score
missingindicator_feature_586,0.023217172813132837,0.023217172813132837,raises score
missingindicator_feature_588,0.023217172813132837,0.023217172813132837,raises score
feature_317,0.02315785652018146,0.02315785652018146,raises score
missingindicator_feature_155,-0.022866840609258504,0.022866840609258504,lowers score
missingindicator_feature_428,-0.022866840609258504,0.022866840609258504,lowers score
missingindicator_feature_290,-0.022866840609258504,0.022866840609258504,lowers score
missingindicator_feature_019,-0.022866840609258504,0.022866840609258504,lowers score
feature_524,-0.022578512260091305,0.022578512260091305,lowers score
feature_479,0.02237525908096865,0.02237525908096865,raises score
missingindicator_feature_195,0.021471323024952804,0.021471323024952804,raises score
missingindicator_feature_053,0.021471323024952804,0.021471323024952804,raises score
missingindicator_feature_057,0.021471323024952804,0.021471323024952804,raises score
missingindicator_feature_058,0.021471323024952804,0.021471323024952804,raises score
missingindicator_feature_055,0.021471323024952804,0.021471323024952804,raises score
missingindicator_feature_056,0.021471323024952804,0.021471323024952804,raises score
missingindicator_feature_054,0.021471323024952804,0.021471323024952804,raises score
missingindicator_feature_331,0.021471323024952804,0.021471323024952804,raises score
missingindicator_feature_467,0.021471323024952804,0.021471323024952804,raises score
feature_008,-0.02122058191537147,0.02122058191537147,lowers score
feature_392,-0.020691108684133715,0.020691108684133715,lowers score
missingindicator_feature_583,0.019335261003081583,0.019335261003081583,raises score
missingindicator_feature_585,0.019335261003081583,0.019335261003081583,raises score
missingindicator_feature_582,0.019335261003081583,0.019335261003081583,raises score
missingindicator_feature_584,0.019335261003081583,0.019335261003081583,raises score
feature_459,-0.019217042522942426,0.019217042522942426,lowers score
feature_012,0.01794023914429065,0.01794023914429065,raises score
feature_385,0.01782905562461302,0.01782905562461302,raises score
missingindicator_feature_132,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_539,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_540,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_134,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_268,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_269,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_541,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_405,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_267,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_133,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_407,-0.01774058336534881,0.01774058336534881,lowers score
missingindicator_feature_406,-0.01774058336534881,0.01774058336534881,lowers score
feature_125,-0.01657112466082571,0.01657112466082571,lowers score
feature_123,0.015331347762016528,0.015331347762016528,raises score
missingindicator_feature_547,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_546,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_551,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_550,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_548,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_549,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_553,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_555,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_556,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_557,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_554,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_552,0.014943109745885658,0.014943109745885658,raises score
missingindicator_feature_127,-0.014928038451685817,0.014928038451685817,lowers score
missingindicator_feature_128,-0.014928038451685817,0.014928038451685817,lowers score
